[2018-04-26 07:53:33 419344] retcode: 1102, selector: 0
[2018-04-26 07:53:33 724754] retcode: 1102, selector: 0
[2018-04-26 07:53:34 047484] retcode: 1102, selector: 0
[2018-04-26 07:53:34 377457] retcode: 1102, selector: 0
[2018-04-26 07:53:34 674829] retcode: 1102, selector: 0
[2018-04-26 07:53:34 983676] retcode: 1102, selector: 0
[2018-04-26 07:53:35 334353] retcode: 1102, selector: 0
[2018-04-26 07:53:35 704114] retcode: 1102, selector: 0
[2018-04-26 07:53:36 063890] retcode: 1102, selector: 0
[2018-04-26 07:53:36 417802] retcode: 1102, selector: 0
[2018-04-26 07:53:36 736726] retcode: 1102, selector: 0
[2018-04-26 07:53:37 066598] retcode: 1102, selector: 0
[2018-04-26 07:53:37 400215] retcode: 1102, selector: 0
[2018-04-26 07:53:37 716509] retcode: 1102, selector: 0
[2018-04-26 07:53:38 039805] retcode: 1102, selector: 0
[2018-04-26 07:53:38 348421] retcode: 1102, selector: 0
[2018-04-26 07:53:38 659431] retcode: 1102, selector: 0
[2018-04-26 07:53:38 993713] retcode: 1102, selector: 0
[2018-04-26 07:53:39 302499] retcode: 1102, selector: 0
[2018-04-26 07:53:39 590316] retcode: 1102, selector: 0
[2018-04-26 07:53:39 912163] retcode: 1102, selector: 0
[2018-04-26 07:53:40 236318] retcode: 1102, selector: 0
[2018-04-26 07:53:40 552805] retcode: 1102, selector: 0
[2018-04-26 07:53:40 854125] retcode: 1102, selector: 0
[2018-04-26 07:53:41 158082] retcode: 1102, selector: 0
[2018-04-26 07:53:41 489297] retcode: 1102, selector: 0
[2018-04-26 07:53:41 809685] retcode: 1102, selector: 0
[2018-04-26 07:53:42 105917] retcode: 1102, selector: 0
[2018-04-26 07:53:42 400339] retcode: 1102, selector: 0
[2018-04-26 07:53:42 725219] retcode: 1102, selector: 0
[2018-04-26 07:53:43 065296] retcode: 1102, selector: 0
[2018-04-26 07:53:43 391879] retcode: 1102, selector: 0
[2018-04-26 07:53:43 713427] retcode: 1102, selector: 0
[2018-04-26 07:53:44 037144] retcode: 1102, selector: 0
[2018-04-26 07:53:44 349491] retcode: 1102, selector: 0
[2018-04-26 07:53:44 664062] retcode: 1102, selector: 0
[2018-04-26 07:53:45 009768] retcode: 1102, selector: 0
[2018-04-26 07:53:45 349203] retcode: 1102, selector: 0
[2018-04-26 07:53:45 652750] retcode: 1102, selector: 0
[2018-04-26 07:53:45 944238] retcode: 1102, selector: 0
[2018-04-26 07:53:46 246360] retcode: 1102, selector: 0
[2018-04-26 07:53:46 538537] retcode: 1102, selector: 0
[2018-04-26 07:53:46 847740] retcode: 1102, selector: 0
[2018-04-26 07:53:47 199495] retcode: 1102, selector: 0
[2018-04-26 07:53:47 555485] retcode: 1102, selector: 0
[2018-04-26 07:53:47 904187] retcode: 1102, selector: 0
[2018-04-26 07:53:48 228350] retcode: 1102, selector: 0
[2018-04-26 07:53:48 536823] retcode: 1102, selector: 0
[2018-04-26 07:53:48 855052] retcode: 1102, selector: 0
[2018-04-26 07:53:49 197541] retcode: 1102, selector: 0
[2018-04-26 07:53:49 553384] retcode: 1102, selector: 0
[2018-04-26 07:53:49 911922] retcode: 1102, selector: 0
[2018-04-26 07:53:50 246323] retcode: 1102, selector: 0
[2018-04-26 07:53:50 542599] retcode: 1102, selector: 0
[2018-04-26 07:53:50 860821] retcode: 1102, selector: 0
[2018-04-26 07:53:51 190413] retcode: 1102, selector: 0
[2018-04-26 07:53:51 495428] retcode: 1102, selector: 0
[2018-04-26 07:53:51 815945] retcode: 1102, selector: 0
[2018-04-26 07:53:52 132243] retcode: 1102, selector: 0
[2018-04-26 07:53:52 461694] retcode: 1102, selector: 0
[2018-04-26 07:53:52 831914] retcode: 1102, selector: 0
[2018-04-26 07:53:53 155523] retcode: 1102, selector: 0
[2018-04-26 07:53:53 444591] retcode: 1102, selector: 0
[2018-04-26 07:53:53 767271] retcode: 1102, selector: 0
[2018-04-26 07:53:54 089919] retcode: 1102, selector: 0
[2018-04-26 07:53:54 396369] retcode: 1102, selector: 0
[2018-04-26 07:53:54 707823] retcode: 1102, selector: 0
[2018-04-26 07:53:55 015019] retcode: 1102, selector: 0
[2018-04-26 07:53:55 323866] retcode: 1102, selector: 0
[2018-04-26 07:53:55 622049] retcode: 1102, selector: 0
[2018-04-26 07:53:55 938422] retcode: 1102, selector: 0
[2018-04-26 07:53:56 291040] retcode: 1102, selector: 0
[2018-04-26 07:53:56 618541] retcode: 1102, selector: 0
[2018-04-26 07:53:56 915884] retcode: 1102, selector: 0
[2018-04-26 07:53:57 221866] retcode: 1102, selector: 0
[2018-04-26 07:53:57 531605] retcode: 1102, selector: 0
[2018-04-26 07:53:57 872963] retcode: 1102, selector: 0
[2018-04-26 07:53:58 209021] retcode: 1102, selector: 0
[2018-04-26 07:53:58 558352] retcode: 1102, selector: 0
